;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
335;argent;2312371;0,004770381;;;;;;;;;;;;;;;;;;;;;;
336;nouvelles;2305778;0,004756779;;;;;;;;;;;;;;;;;;;;;;
337;idée;2304625;0,004754401;;;;;;;;;;;;;;;;;;;;;;
338;marché;2301935;0,004748851;;;;;;;;;;;;;;;;;;;;;;
339;quel;2301268;0,004747475;;;;;;;;;;;;;;;;;;;;;;
340;cause;2294621;0,004733763;;;;;;;;;;;;;;;;;;;;;;
341;belle;2289731;0,004723675;;;;;;;;;;;;;;;;;;;;;;
342;type;2274867;0,00469301;;;;;;;;;;;;;;;;;;;;;;
343;esprit;2270161;0,004683302;;;;;;;;;;;;;;;;;;;;;;
344;public;2269036;0,004680981;;;;;;;;;;;;;;;;;;;;;;
345;passé;2268013;0,004678871;;;;;;;;;;;;;;;;;;;;;;
346;parfois;2258813;0,004659891;;;;;;;;;;;;;;;;;;;;;;
347;pourtant;2253497;0,004648925;;;;;;;;;;;;;;;;;;;;;;
348;donne;2252008;0,004645853;;;;;;;;;;;;;;;;;;;;;;
349;aucune;2238746;0,004618493;;;;;;;;;;;;;;;;;;;;;;
350;parler;2233695;0,004608073;;;;;;;;;;;;;;;;;;;;;;
351;loi;2233185;0,004607021;;;;;;;;;;;;;;;;;;;;;;
352;autant;2224738;0,004589595;;;;;;;;;;;;;;;;;;;;;;
353;propre;2209167;0,004557473;;;;;;;;;;;;;;;;;;;;;;
354;haut;2199910;0,004538375;;;;;;;;;;;;;;;;;;;;;;
355;derni?re;2191653;0,004521341;;;;;;;;;;;;;;;;;;;;;;
356;autour;2189408;0,00451671;;;;;;;;;;;;;;;;;;;;;;
357;santé;2186991;0,004511724;;;;;;;;;;;;;;;;;;;;;;
358;membres;2177739;0,004492637;;;;;;;;;;;;;;;;;;;;;;
359;agit;2176744;0,004490584;;;;;;;;;;;;;;;;;;;;;;
360;gouvernement;2173205;0,004483284;;;;;;;;;;;;;;;;;;;;;;
